tool,yyyy-mm,year,month,source,device,campaign,placement,creative,creative_dimensions,creative_type,creative_cat,impressions,clicks,ctr
DCM,2021-10,2021,10,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,728x90,banner,image,86822,211,0.0024302596116191747
DCM,2021-10,2021,10,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,728x90,banner,image,3575,3,0.0008391608391608392
DCM,2021-10,2021,10,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,728x90,banner,image,557546,1156,0.0020733715245020144
DCM,2021-10,2021,10,Emodo,connected tv,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,728x90,banner,image,1,0,0.0
DCM,2021-10,2021,10,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,728x90,banner,image,87471,211,0.0024122280527260464
DCM,2021-10,2021,10,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,728x90,banner,image,3638,11,0.0030236393622869707
DCM,2021-10,2021,10,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,728x90,banner,image,558904,1081,0.0019341425361063796
DCM,2021-10,2021,10,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,157009,198,0.0012610742059372393
DCM,2021-10,2021,10,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,885,2,0.0022598870056497176
DCM,2021-10,2021,10,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,578459,896,0.0015489429674358944
DCM,2021-09,2021,09,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1,300x250,square,image,146756,61,0.0004156559186677206
DCM,2021-09,2021,09,Emodo,phone,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1,300x250,square,image,6,0,0.0
DCM,2021-09,2021,09,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1,300x250,square,image,123805,71,0.0005734824926295383
DCM,2021-09,2021,09,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1,300x250,square,image,44513,16,0.0003594455552310561
DCM,2021-09,2021,09,Emodo,,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1,300x250,square,image,14,0,0.0
DCM,2021-10,2021,10,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,300x250,square,image,154,2,0.012987012987012988
DCM,2021-10,2021,10,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,300x250,square,image,1080,3,0.002777777777777778
DCM,2021-10,2021,10,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1623_v3_50,300x250,square,image,771,0,0.0
DCM,2021-10,2021,10,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,300x250,square,image,151,0,0.0
DCM,2021-10,2021,10,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,300x250,square,image,1119,6,0.005361930294906166
DCM,2021-10,2021,10,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,SD_1624_v3_Symptom,300x250,square,image,759,0,0.0
DCM,2021-10,2021,10,Emodo,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1,300x250,square,image,13555,13,0.0009590556990040575
DCM,2021-10,2021,10,Emodo,phone,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1,300x250,square,image,1,0,0.0
DCM,2021-10,2021,10,Emodo,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1,300x250,square,image,75348,43,0.000570685353294049
DCM,2021-10,2021,10,Emodo,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,Dermicool_SDP_DTP_TalkToYourDoctor_300x250_v1,300x250,square,image,6536,6,0.0009179926560587516
DCM,2021-09,2021,09,Emodo,,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,,,unknown,unknown,0,0,0.0
DCM,2021-09,2021,09,Emodo,,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,,,unknown,unknown,0,0,0.0
DCM,2021-09,2021,09,Emodo,,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,,,unknown,unknown,0,0,0.0
DCM,2021-10,2021,10,Emodo,,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,,,unknown,unknown,0,0,0.0
DCM,2021-10,2021,10,Emodo,,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,,,unknown,unknown,0,0,0.0
DCM,2021-10,2021,10,Emodo,,200 Arabia Dermicool FY21 SDP DTP Media PT,SD App Users,,,unknown,unknown,0,0,0.0
DCM,2021-05,2021,05,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,66,0,0.0
DCM,2021-05,2021,05,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,120852,167,0.0013818554926687187
DCM,2021-05,2021,05,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,6893,8,0.0011605977078195271
DCM,2021-06,2021,06,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,120,0,0.0
DCM,2021-06,2021,06,Swoop,phone,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,5,0,0.0
DCM,2021-06,2021,06,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,99645,141,0.001415023332831552
DCM,2021-06,2021,06,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,8530,7,0.0008206330597889801
DCM,2021-07,2021,07,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,570,0,0.0
DCM,2021-07,2021,07,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,49340,81,0.0016416700445885692
DCM,2021-07,2021,07,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,5821,5,0.0008589589417625838
DCM,2021-08,2021,08,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,94,0,0.0
DCM,2021-08,2021,08,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,38496,64,0.0016625103906899418
DCM,2021-08,2021,08,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,320x50,banner small,image,5043,3,0.000594883997620464
DCM,2021-09,2021,09,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1624_v3_Symptom,320x50,banner small,image,222,0,0.0
DCM,2021-09,2021,09,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1624_v3_Symptom,320x50,banner small,image,73150,103,0.0014080656185919344
DCM,2021-09,2021,09,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1624_v3_Symptom,320x50,banner small,image,8432,8,0.0009487666034155598
DCM,2021-10,2021,10,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1624_v3_Symptom,320x50,banner small,image,1377,1,0.0007262164124909223
DCM,2021-10,2021,10,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1624_v3_Symptom,320x50,banner small,image,44877,97,0.0021614635559417963
DCM,2021-10,2021,10,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1624_v3_Symptom,320x50,banner small,image,3639,4,0.0010992030777686177
DCM,2021-01,2021,01,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,154627,294,0.0019013496995996819
DCM,2021-01,2021,01,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,154846,297,0.0019180346925332266
DCM,2021-01,2021,01,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor,728x90,banner,image,407530,537,0.0013176944028660466
DCM,2021-02,2021,02,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,174004,343,0.001971219052435576
DCM,2021-02,2021,02,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,174054,341,0.001959162099118664
DCM,2021-02,2021,02,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor,728x90,banner,image,376777,337,0.0008944282692414877
DCM,2021-03,2021,03,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,167753,294,0.0017525767050365717
DCM,2021-03,2021,03,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,166865,255,0.0015281814640577714
DCM,2021-03,2021,03,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor,728x90,banner,image,263529,374,0.001419198646069313
DCM,2021-04,2021,04,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,133421,212,0.0015889552619152906
DCM,2021-04,2021,04,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,133601,220,0.0016466942612704996
DCM,2021-04,2021,04,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,329875,263,0.000797271693823418
DCM,2021-05,2021,05,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,19188,29,0.0015113612674588284
DCM,2021-05,2021,05,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,19218,45,0.0023415547923821417
DCM,2021-05,2021,05,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,36986,70,0.0018926080138430758
DCM,2021-05,2021,05,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,54051,78,0.001443081534106677
DCM,2021-05,2021,05,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,53687,70,0.0013038538193603667
DCM,2021-05,2021,05,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,102524,19,0.00018532246108228317
DCM,2021-05,2021,05,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,25609,74,0.0028896091217931194
DCM,2021-05,2021,05,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,26143,60,0.002295069425850132
DCM,2021-05,2021,05,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,47713,123,0.0025779137761197156
DCM,2021-06,2021,06,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,12201,32,0.0026227358413244816
DCM,2021-06,2021,06,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,38743,66,0.0017035335415429883
DCM,2021-06,2021,06,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,16747,56,0.003343882486415477
DCM,2021-06,2021,06,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,12480,22,0.0017628205128205128
DCM,2021-06,2021,06,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,38907,73,0.0018762690518415708
DCM,2021-06,2021,06,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,16949,41,0.002419021771195941
DCM,2021-06,2021,06,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,38096,50,0.0013124737505249896
DCM,2021-06,2021,06,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,86545,27,0.0003119764284476284
DCM,2021-06,2021,06,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,42996,93,0.0021629919062238346
DCM,2021-06,2021,06,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,2,2,1.0
DCM,2021-07,2021,07,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,7232,15,0.002074115044247788
DCM,2021-07,2021,07,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,47967,67,0.0013967936289532388
DCM,2021-07,2021,07,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,15251,46,0.0030161956593010293
DCM,2021-07,2021,07,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,7306,15,0.002053107035313441
DCM,2021-07,2021,07,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,48095,71,0.0014762449319056035
DCM,2021-07,2021,07,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,15217,38,0.0024972070710389694
DCM,2021-07,2021,07,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,1,0,0.0
DCM,2021-07,2021,07,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,20515,32,0.0015598342676090666
DCM,2021-07,2021,07,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,114251,31,0.0002713324172217311
DCM,2021-07,2021,07,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,34809,81,0.0023269844005860555
DCM,2021-08,2021,08,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,8584,12,0.0013979496738117428
DCM,2021-08,2021,08,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,62904,119,0.0018917715884522446
DCM,2021-08,2021,08,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1623_v3_50,728x90,banner,image,17690,56,0.0031656302996042962
DCM,2021-08,2021,08,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,8689,16,0.0018414086776383934
DCM,2021-08,2021,08,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,63264,120,0.0018968133535660092
DCM,2021-08,2021,08,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,17802,48,0.002696326255476913
DCM,2021-08,2021,08,Swoop,,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,SD_1624_v3_Symptom,728x90,banner,image,1,1,1.0
DCM,2021-08,2021,08,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,19992,27,0.0013505402160864347
DCM,2021-08,2021,08,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,134332,39,0.00029032546228746685
DCM,2021-08,2021,08,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Claim-Based Custom Segment Targeting,Dermicool_SDP_DTP_TalkToYourDoctor_728x90_v1,728x90,banner,image,34898,78,0.0022350851051636195
DCM,2021-09,2021,09,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1623_v3_50,728x90,banner,image,3722,11,0.002955400322407308
DCM,2021-09,2021,09,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1623_v3_50,728x90,banner,image,26809,45,0.0016785407885411615
DCM,2021-09,2021,09,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1623_v3_50,728x90,banner,image,13439,36,0.0026787707418706747
DCM,2021-09,2021,09,Swoop,desktop,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1624_v3_Symptom,728x90,banner,image,3742,8,0.002137894174238375
DCM,2021-09,2021,09,Swoop,mobile,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1624_v3_Symptom,728x90,banner,image,26508,71,0.0026784366983552137
DCM,2021-09,2021,09,Swoop,tablet,200 Arabia Dermicool FY21 SDP DTP Media PT,Skin Disease Disease Custom Segment Targeting AV,SD_1624_v3_Symptom,728x90,banner,image,13342,43,0.00322290511167741
